# q                 I(q)             
  1.00000e-04       9.99983e-01      
  4.34114e-04       9.99689e-01      
  7.68227e-04       9.99026e-01      
  1.10234e-03       9.97997e-01      
  1.43645e-03       9.96600e-01      
  1.77057e-03       9.94840e-01      
  2.10468e-03       9.92716e-01      
  2.43880e-03       9.90232e-01      
  2.77291e-03       9.87391e-01      
  3.10702e-03       9.84194e-01      
  3.44114e-03       9.80647e-01      
  3.77525e-03       9.76753e-01      
  4.10936e-03       9.72516e-01      
  4.44348e-03       9.67940e-01      
  4.77759e-03       9.63031e-01      
  5.11171e-03       9.57794e-01      
  5.44582e-03       9.52235e-01      
  5.77993e-03       9.46360e-01      
  6.11405e-03       9.40174e-01      
  6.44816e-03       9.33686e-01      
  6.78227e-03       9.26900e-01      
  7.11639e-03       9.19826e-01      
  7.45050e-03       9.12470e-01      
  7.78462e-03       9.04840e-01      
  8.11873e-03       8.96944e-01      
  8.45284e-03       8.88790e-01      
  8.78696e-03       8.80387e-01      
  9.12107e-03       8.71744e-01      
  9.45518e-03       8.62869e-01      
  9.78930e-03       8.53771e-01      
  1.01234e-02       8.44460e-01      
  1.04575e-02       8.34946e-01      
  1.07916e-02       8.25237e-01      
  1.11258e-02       8.15343e-01      
  1.14599e-02       8.05275e-01      
  1.17940e-02       7.95041e-01      
  1.21281e-02       7.84653e-01      
  1.24622e-02       7.74120e-01      
  1.27963e-02       7.63452e-01      
  1.31304e-02       7.52659e-01      
  1.34645e-02       7.41752e-01      
  1.37987e-02       7.30740e-01      
  1.41328e-02       7.19634e-01      
  1.44669e-02       7.08445e-01      
  1.48010e-02       6.97181e-01      
  1.51351e-02       6.85853e-01      
  1.54692e-02       6.74472e-01      
  1.58033e-02       6.63046e-01      
  1.61375e-02       6.51586e-01      
  1.64716e-02       6.40102e-01      
  1.68057e-02       6.28603e-01      
  1.71398e-02       6.17099e-01      
  1.74739e-02       6.05599e-01      
  1.78080e-02       5.94111e-01      
  1.81421e-02       5.82646e-01      
  1.84763e-02       5.71212e-01      
  1.88104e-02       5.59818e-01      
  1.91445e-02       5.48472e-01      
  1.94786e-02       5.37182e-01      
  1.98127e-02       5.25957e-01      
  2.01468e-02       5.14804e-01      
  2.04809e-02       5.03730e-01      
  2.08151e-02       4.92744e-01      
  2.11492e-02       4.81852e-01      
  2.14833e-02       4.71062e-01      
  2.18174e-02       4.60379e-01      
  2.21515e-02       4.49810e-01      
  2.24856e-02       4.39361e-01      
  2.28197e-02       4.29038e-01      
  2.31538e-02       4.18846e-01      
  2.34880e-02       4.08791e-01      
  2.38221e-02       3.98877e-01      
  2.41562e-02       3.89109e-01      
  2.44903e-02       3.79492e-01      
  2.48244e-02       3.70030e-01      
  2.51585e-02       3.60725e-01      
  2.54926e-02       3.51583e-01      
  2.58268e-02       3.42606e-01      
  2.61609e-02       3.33796e-01      
  2.64950e-02       3.25157e-01      
  2.68291e-02       3.16691e-01      
  2.71632e-02       3.08400e-01      
  2.74973e-02       3.00286e-01      
  2.78314e-02       2.92350e-01      
  2.81656e-02       2.84594e-01      
